author	authorLabel
http://www.wikidata.org/entity/Q104553043	Frano Lucijan Gundulić
http://www.wikidata.org/entity/Q561737	François Hotman
http://www.wikidata.org/entity/Q947108	Fredegar
http://www.wikidata.org/entity/Q517177	Fridugisus
http://www.wikidata.org/entity/Q65337	Friedrich August Wolf
http://www.wikidata.org/entity/Q5504749	Frithegod
http://www.wikidata.org/entity/Q297377	Frontinus
http://www.wikidata.org/entity/Q5506242	Frothar of Toul
http://www.wikidata.org/entity/Q675974	Froumund of Tegernsee
http://www.wikidata.org/entity/Q4926258	Frowin of Engleberg
http://www.wikidata.org/entity/Q705395	Fructuosus of Braga
http://www.wikidata.org/entity/Q529302	Fulbert of Chartres
http://www.wikidata.org/entity/Q5630	Fulcher of Chartres
http://www.wikidata.org/entity/Q88007710	Fulcoius of Beauvais
http://www.wikidata.org/entity/Q5507858	Fulgentius Ferrandus
http://www.wikidata.org/entity/Q380089	Fulgentius of Ruspe
http://www.wikidata.org/entity/Q1474972	Furius Dionysius Filocalus
http://www.wikidata.org/entity/Q603706	Gabriel Pereira de Castro
http://www.wikidata.org/entity/Q69764651	Gaillard Guiran
http://www.wikidata.org/entity/Q313439	Gaius
http://www.wikidata.org/entity/Q3757285	Gaius Albucius Silus
http://www.wikidata.org/entity/Q450708	Gaius Asinius Gallus
http://www.wikidata.org/entity/Q319273	Gaius Asinius Pollio
http://www.wikidata.org/entity/Q727589	Gaius Ateius Capito
http://www.wikidata.org/entity/Q164923	Gaius Cassius Longinus
http://www.wikidata.org/entity/Q12093928	Gaius Clodius Licinus
http://www.wikidata.org/entity/Q8825	Gaius Cornelius Gallus
http://www.wikidata.org/entity/Q11923546	Gaius Drusus
http://www.wikidata.org/entity/Q1491473	Gaius Julius Caesar Strabo Vopiscus
http://www.wikidata.org/entity/Q298376	Gaius Julius Hyginus
http://www.wikidata.org/entity/Q520487	Gaius Julius Solinus
http://www.wikidata.org/entity/Q3207287	Gaius Julius Victor
http://www.wikidata.org/entity/Q521520	Gaius Licinius Mucianus
http://www.wikidata.org/entity/Q298729	Gaius Lucilius
http://www.wikidata.org/entity/Q708247	Gaius Marius Victorinus
http://www.wikidata.org/entity/Q432089	Gaius Matius
http://www.wikidata.org/entity/Q670317	Gaius Oppius
http://www.wikidata.org/entity/Q316090	Gaius Valerius Flaccus
http://www.wikidata.org/entity/Q8817	Gaius Valgius Rufus
http://www.wikidata.org/entity/Q3238490	Galbert of Bruges
http://www.wikidata.org/entity/Q85512223	Galon of Paris
http://www.wikidata.org/entity/Q279427	Gaudentius of Brescia
http://www.wikidata.org/entity/Q104553149	Gaufridus Magister
http://www.wikidata.org/entity/Q785241	Gaunilo of Marmoutiers
http://www.wikidata.org/entity/Q126296	Gebeno von Eberbach
http://www.wikidata.org/entity/Q162135	Gelasius I
http://www.wikidata.org/entity/Q373675	Gennadius of Massilia
http://www.wikidata.org/entity/Q88013803	Geoffrey Grossus
http://www.wikidata.org/entity/Q188344	Geoffrey of Monmouth
http://www.wikidata.org/entity/Q1223067	Geoffrey of Vendôme
http://www.wikidata.org/entity/Q1491994	Geoffrey of Vinsauf
http://www.wikidata.org/entity/Q71606	Georg Fabricius
http://www.wikidata.org/entity/Q357824	Gerald of Wales
http://www.wikidata.org/entity/Q367240	Gerard of Cremona
http://www.wikidata.org/entity/Q117759	Gerard of Csanád
http://www.wikidata.org/entity/Q1432518	Gerard of Florennes
http://www.wikidata.org/entity/Q122059	Gerhoh of Reichersberg
http://www.wikidata.org/entity/Q191039	Germanicus
http://www.wikidata.org/entity/Q111153335	Geronimo Sirtori
http://www.wikidata.org/entity/Q85512249	Gervase of Reims
http://www.wikidata.org/entity/Q3761958	Giacomino da Verona
http://www.wikidata.org/entity/Q85610482	Gian Domenico Cancianini
